,t,pos,vel,rot_vel,head_direction
42,4.300000000000001,"[0.9213289317516415, 0.9402864733854952]","[0.013146918802610097, -0.030476287608517394]",-2.0557320964834336,"[0.5142797028123312, -0.8576225202705795]"
43,4.4,"[0.9239564936567725, 0.9377902648500829]","[0.02627561905130915, -0.024962085354123253]",4.037562348916328,"[0.6601274683073309, -0.7511535965341268]"
44,4.5,"[0.9273095235057892, 0.9353286573086621]","[0.03353029849016753, -0.02461607541420774]",1.2648697099025341,"[0.7613993227947589, -0.648283172115151]"
45,4.6,"[0.9336178391230929, 0.9308524551936154]","[0.06308315617303717, -0.044762021150467346]",0.1614814130527087,"[0.7981882088447602, -0.6024081533820683]"
46,4.699999999999999,"[0.9362060679624257, 0.9271204233311494]","[0.0258822883933274, -0.037320318624659565]",-3.473027211250459,"[0.6533000442848126, -0.7570991032470331]"
47,4.799999999999999,"[0.9384970628310126, 0.9241773922563505]","[0.022909948685869708, -0.02943031074798874]",0.5510139201536912,"[0.6274574809428934, -0.7786508264997851]"
48,4.899999999999999,"[0.9398182710358067, 0.918052769828803]","[0.013212082047940887, -0.061246224275475214]",-4.49000838382589,"[0.35831930884554786, -0.9335990964586721]"
49,4.999999999999998,"[0.9402373367770969, 0.9131784569114234]","[0.004190657412901366, -0.048743129173796085]",-1.2669678282749697,"[0.17810117207225287, -0.984012181076276]"
50,5.099999999999998,"[0.9389456649890104, 0.9034655980232362]","[-0.012916717880864237, -0.09712858888187181]",-2.179836758304603,"[-0.028825874302623705, -0.999584448143672]"
51,5.1999999999999975,"[0.9387753752441451, 0.8959873263142653]","[-0.0017028974486532622, -0.07478271708970974]",1.094459141051276,"[-0.024785638373781765, -0.9996927888758647]"
52,5.299999999999997,"[0.9447879254601356, 0.8885689413406833]","[0.06012550215990453, -0.07418384973581937]",7.038686418288327,"[0.4352701320185261, -0.9002999012399007]"
53,5.399999999999997,"[0.9477227108433911, 0.8756754944611714]","[0.029347853832555337, -0.12893446879511883]",-4.57302053420098,"[0.2947292092564378, -0.9555808145892606]"
54,5.4999999999999964,"[0.9500868925375902, 0.8634529829875336]","[0.023641816941990523, -0.12222511473637843]",-0.32735861629297425,"[0.225140930165107, -0.974326209010304]"
55,5.599999999999996,"[0.9527183789481852, 0.8519990854066781]","[0.02631486410595074, -0.11453897580855465]",0.34758610936242995,"[0.22432202505721652, -0.9745150738055464]"
56,5.699999999999996,"[0.9572162395043737, 0.8373753019188221]","[0.04497860556188504, -0.1462378348785598]",0.7255954391584307,"[0.27091761823271904, -0.9626025369440446]"
57,5.799999999999995,"[0.9631434557393321, 0.8265661582817537]","[0.05927216234958399, -0.10809143637068419]",2.0318932275537804,"[0.41321244263064283, -0.9106346563003286]"
58,5.899999999999995,"[0.9699666336740506, 0.81228788724472]","[0.06823177934718427, -0.14278271037033718]",-0.5578996770238476,"[0.4252023627379009, -0.9050983099763841]"
59,5.999999999999995,"[0.9757806805489208, 0.8054703336817917]","[0.058140468748701934, -0.06817553562928347]",2.6033474840861004,"[0.5788994921210705, -0.8153989072975059]"
60,6.099999999999994,"[0.9763140882775513, 0.7979637961764976]","[0.005334077286305305, -0.07506537505294064]",-6.351759101666685,"[0.24839245839327884, -0.9686594791841678]"
61,6.199999999999994,"[0.9732882527670029, 0.7915246833488804]","[-0.03025835510548358, -0.06439112827617222]",-5.102316231007622,"[-0.21179962510204323, -0.9773131119588204]"
62,6.299999999999994,"[0.9707829392682463, 0.7848688678599134]","[-0.025053134987566006, -0.06655815488966987]",0.7928568162706728,"[-0.30618372104122044, -0.9519724412866962]"
63,6.399999999999993,"[0.97159966807186, 0.7792108862366677]","[0.008167288036137199, -0.056579816232457114]",5.03369751973934,"[-0.006974391451482776, -0.9999756786361764]"
64,6.499999999999993,"[0.9750037963083216, 0.7728279760356781]","[0.03404128236461523, -0.06382910200989578]",3.4658156530928075,"[0.3201167259383961, -0.9473781091910884]"
65,6.5999999999999925,"[0.9799386896543719, 0.7691275800860857]","[0.04934893346050351, -0.03700395949592372]",4.374468579205715,"[0.6666102527199259, -0.7454064468252716]"
66,6.699999999999992,"[0.9824239695405893, 0.7647972414087392]","[0.02485279886217384, -0.04330338677346557]",-4.063636457694226,"[0.5567385093459388, -0.8306878067067446]"
67,6.799999999999992,"[0.9843010154045232, 0.7634760641759376]","[0.018770458639338905, -0.013211772328015625]",4.364679312792603,"[0.7418053766619336, -0.6706152273513083]"
68,6.8999999999999915,"[0.9873338025487257, 0.7605350167444475]","[0.0303278714420252, -0.029410474314901514]",-1.567392669228278,"[0.7259547048511573, -0.6877425146844341]"
69,6.999999999999991,"[0.9871812218223237, 0.7531835097459044]","[-0.0015258072640200737, -0.07351506998543034]",-8.215088077174704,"[0.24681832099498602, -0.9690617712102856]"
70,7.099999999999991,"[0.986311916701367, 0.7475835611655708]","[-0.008693051209567315, -0.05599948580333636]",-1.3324938547187681,"[-0.020358482911867648, -0.9997927446093651]"
71,7.19999999999999,"[0.9890834942910179, 0.7418622740426616]","[0.027715775896509642, -0.05721287122909202]",6.051182440020018,"[0.29100373192288304, -0.9567219178042045]"
72,7.29999999999999,"[0.9952444470240628, 0.7322949229266398]","[0.061609527330448444, -0.09567351116021805]",1.2099157132196847,"[0.4618666447135498, -0.886949379897775]"
73,7.39999999999999,"[0.9991470349883427, 0.7236017331462777]","[0.03902587964279891, -0.08693189780362043]",-1.5015302577440082,"[0.427148463902813, -0.9041815026782328]"
74,7.499999999999989,"[0.9967444293798718, 0.7208411555385644]","[-0.024026056084708314, -0.027605776077133104]",-11.381256273832978,"[-0.3446529650179666, -0.9387301708714407]"
75,7.599999999999989,"[0.9947614560864962, 0.7170407628755315]","[-0.019829732933756006, -0.03800392663032892]",2.3525704003166625,"[-0.4240655427640352, -0.9056315009098591]"
76,7.699999999999989,"[0.9936510259886314, 0.7110117207364919]","[-0.01110430097864823, -0.06029042139039653]",2.9877671127700545,"[-0.26402684734673365, -0.9645153310757401]"
77,7.799999999999988,"[0.9918126368906264, 0.7069241456357027]","[-0.018383890980050444, -0.04087575100789165]",-2.405031820623673,"[-0.3624317464374061, -0.9320103160235576]"
78,7.899999999999988,"[0.990069544293088, 0.7065648290156618]","[-0.017430925975383538, -0.0035931662004096143]",-9.44868972414083,"[-0.8667322491962912, -0.4987737044022451]"
79,7.999999999999988,"[0.987723049658072, 0.7062916078388863]","[-0.023464946350160165, -0.002732211767754178]",-0.8738031412918801,"[-0.9687888233221721, -0.24788750635326728]"
80,8.099999999999987,"[0.9858163810089384, 0.7071131581183161]","[-0.019066686491335805, 0.008215502794297613]",-5.227826600089678,"[-0.9817453366446465, 0.1902001418939791]"
81,8.199999999999987,"[0.988478229497052, 0.7074638150877987]","[0.026618484881135718, 0.0035065696948255454]",-26.037556095502804,"[0.9116123083980389, 0.41105109071403617]"
82,8.299999999999986,"[0.9919350807227115, 0.709117058567939]","[0.034568512256595296, 0.016532434801403983]",3.151111555513125,"[0.9053467158225166, 0.42467319688129984]"
83,8.399999999999986,"[0.9918495132608269, 0.7103149515591843]","[-0.0008556746188459474, 0.011978929912452863]",11.959373137684,"[0.3006888327364604, 0.9537223001836462]"
84,8.499999999999986,"[0.9923577741593054, 0.7107799385097039]","[0.005082608984784409, 0.004649869505195525]",-9.011577753239921,"[0.6106243213893453, 0.7919204114857764]"
85,8.599999999999985,"[0.9957279350625234, 0.7136598589314552]","[0.03370160903218067, 0.028799204217513363]",-0.3375969162808623,"[0.7137534816568109, 0.7003970070058699]"
